zipcode,income,count
13120,44380.733944954125,1090
13122,58490.56603773585,530
13126,57021.38849929874,14260
13131,52227.011494252874,1740
13132,56121.134020618556,1940
13135,56433.22475570033,3070
13136,38815.78947368421,190
13140,47601.0101010101,1980
13141,50378.78787878788,330
13142,55237.67605633803,2840
13143,49892.24137931035,1160
13144,46527.77777777778,540
13145,50595.23809523809,840
13146,45786.51685393258,890
13147,53826.5306122449,490
13148,52233.93574297189,4980
13152,84951.45631067961,4120
13155,50446.42857142857,280
13156,58950.61728395062,810
13158,47884.61538461538,650
13159,69718.99224806202,2580
13160,57500.0,950
13164,68945.3125,1280
13165,46683.16831683168,5050
13166,53827.51937984496,2580
13167,54294.47852760736,1630
13202,42361.11111111111,1980
13203,37636.29283489096,6420
13204,32824.30730478589,7940
13205,33948.66385372714,7110
13206,40938.995215311006,8360
13207,44377.09030100334,5980
13208,32436.03411513859,9380
13209,49835.766423357665,6850
13210,43264.563106796115,6180
13211,38791.79331306991,3290
13212,52159.62441314554,10650
13214,67900.0,3750
13215,77221.07438016529,7260
13219,60912.938331318015,8270
13224,60650.35799522673,4190
13302,42234.84848484849,660
13303,59868.42105263158,570
13304,69583.33333333333,900
13308,49112.903225806454,1550
13309,50520.833333333336,2640
13310,47083.333333333336,300
13314,42500.0,200
13315,50409.83606557377,610
13316,50618.37455830388,2830
13317,50598.80239520958,1670
13318,52663.934426229505,610
13319,45277.77777777778,450
13320,50398.936170212764,940
13322,57932.692307692305,520
13323,67746.91358024691,4860
13324,50961.53846153846,910
13325,47619.04761904762,420
13326,69713.43873517787,2530
13327,49872.448979591834,980
13328,57175.92592592593,540
13329,45962.73291925466,1610
13331,61538.46153846154,130
13332,47916.666666666664,1140
13334,50909.09090909091,550
13335,48458.90410958904,730
13337,66562.5,400
13338,48975.40983606558,610
13339,44513.35877862595,2620
13340,51776.31578947369,3800
13343,51442.307692307695,780
13346,72786.45833333333,1920
13348,50781.25,640
13350,46867.007672634274,3910
13354,59493.670886075946,1580
13355,51562.5,400
13357,47035.256410256414,4680
13360,48913.04347826087,230
13361,52232.142857142855,280
13363,55909.09090909091,1100
13365,49734.04255319149,3760
13367,53047.09141274238,3610
13368,48317.307692307695,520
13402,48461.53846153846,650
13403,62887.59689922481,2580
13406,47500.0,250
13407,47510.3734439834,2410
13408,52139.63963963964,1110
13409,48549.107142857145,1120
13411,45000.0,1350
13413,72997.41602067184,7740
13416,56000.0,1000
13417,47020.348837209305,1720
13420,58823.529411764706,850
13421,50787.5605815832,6190
13424,58035.71428571428,1120
13425,47752.808988764045,890
13428,48588.709677419356,620
13431,60000.0,900
13433,40972.22222222222,720
13437,41447.36842105263,190
13438,58083.83233532934,1670
13439,50148.80952380953,1680
13440,51135.11282333517,18170
13450,43750.0,120
13452,45304.2328042328,1890
13454,49621.21212121212,330
13456,62931.03448275862,2030
13459,49210.52631578947,950
