BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,address,lat,lon,zipcode,income,count
3,Brooklyn,47,BK41,Kensington-Ocean Parkway,20800.75236,15893304.96,"Ocean Pkwy, Brooklyn, NY, USA",40.612878,-73.9683862,11230,53283.282590644885,36130
3,Brooklyn,47,BK43,Midwood,27996.590610000003,35799574.39,"Midwood, Brooklyn, NY, USA",40.6204388,-73.9599778,11230,53283.282590644885,36130
3,Brooklyn,47,BK46,Ocean Parkway South,21975.99732,17782095.76,"Ocean Pkwy, Brooklyn, NY, USA",40.612878,-73.9683862,11230,53283.282590644885,36130
3,Brooklyn,47,BK95,Erasmus,18756.70186,14522603.59,"1500 Nostrand Ave, Brooklyn, NY 11226, United States",40.6496736,-73.9496786,11226,42286.78139183056,52880
3,Brooklyn,47,BK42,Flatbush,38737.85381,45254807.5,"Flatbush, Brooklyn, NY, USA",40.6414876,-73.9593998,11226,42286.78139183056,52880
2,Bronx,5,BX33,Longwood,18982.12966,10732452.18,"Longwood, The Bronx, NY 10459, USA",40.8248438,-73.8915875,10459,30680.240629338266,21610
3,Brooklyn,47,BK69,Clinton Hill,23971.4659,20528197.12,"Clinton Hill, Brooklyn, NY, USA",40.6896834,-73.9661144,11205,60935.8774662513,19260
3,Brooklyn,47,BK68,Fort Greene,19825.52089,16482821.54,"Fort Greene, Brooklyn, NY, USA",40.6920638,-73.9741874,11205,60935.8774662513,19260
4,Queens,81,QN33,Cambria Heights,26168.27009,33076797.82,"Cambria Heights, Queens, NY, USA",40.692158,-73.7330753,11411,55094.73197781885,10820
4,Queens,81,QN61,Jamaica,43696.36473,47308036.55,"Jamaica, Queens, NY, USA",40.702677,-73.7889689,11433,39131.40643623362,16780
4,Queens,81,QN01,South Jamaica,32122.55236,39971928.94,"South Jamaica, Queens, NY, USA",40.6808594,-73.7919103,11434,46287.65060240964,33200
4,Queens,81,QN02,Springfield Gardens North,25437.061869999998,28432652.74,"Springfield Gardens, Queens, NY 11434, USA",40.6715916,-73.779798,11434,46287.65060240964,33200
4,Queens,81,QN76,Baisley Park,31478.438130000002,44038576.44,"Baisley Blvd, Jamaica, NY 11434, United States",40.6804559,-73.7746431,11434,46287.65060240964,33200
3,Brooklyn,47,BK26,Gravesend,39922.674380000004,31341950.28,"Gravesend, Brooklyn, NY, USA",40.5918636,-73.9768653,11223,48053.555355535544,33330
3,Brooklyn,47,BK29,Bensonhurst East,33903.24544,35777947.59,"Bensonhurst, Brooklyn, NY, USA",40.6139307,-73.9921833,11204,44656.601539372416,33780
