BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,address,lat,lon,zipcode,income,count
2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,42870.3928,36302379.26,"Westchester Square, The Bronx, NY, USA",40.839815,-73.8464802,10461,53371.475275847966,24470
3,Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,60820.88416,44601379.23,"Columbia St, Brooklyn, NY, USA",40.6775239,-74.0063441,11231,88695.58991981672,17460
3,Brooklyn,47,BK76,Greenpoint,28914.354910000002,35321995.79,"Greenpoint, Brooklyn, NY, USA",40.7304701,-73.9515032,11222,70909.98685939553,22830
1,Manhattan,61,MN20,Murray Hill-Kips Bay,24491.310569999998,14485874.77,"166 E 34th St, New York, NY 10016, United States",40.7453505,-73.9787369,10016,101822.27995110024,32720
1,Manhattan,61,MN04,Hamilton Heights,17411.381709999998,16096135.96,"Hamilton Heights, New York, NY, USA",40.8252793,-73.9476139,10031,42116.621530128636,29540
2,Bronx,5,BX14,East Concourse-Concourse Village,27223.84718,18222401.64,"Concourse Village, Manhattan, NY, USA",40.8255863,-73.9184388,10451,34673.68421052631,23750
1,Manhattan,61,MN36,Washington Heights South,22106.42365,23092823.98,"Washington Heights, New York, NY, USA",40.8417082,-73.9393554,10032,40403.22580645161,29450
1,Manhattan,61,MN35,Washington Heights North,26683.663269999997,22667347.41,"4334 Broadway, New York, NY 10033, United States",40.852476,-73.9342996,10033,45657.16911764706,27200
1,Manhattan,61,MN33,East Harlem South,18624.66481,16650687.57,"East Harlem, New York, NY, USA",40.7957399,-73.9389213,10029,43013.669673055236,35480
1,Manhattan,61,MN34,East Harlem North,30603.71888,24494898.42,"East Harlem, New York, NY, USA",40.7957399,-73.9389213,10029,43013.669673055236,35480
1,Manhattan,61,MN19,Turtle Bay-East Midtown,21124.05419,17389163.83,"Midtown East, New York, NY, USA",40.7571432,-73.9718815,10022,119197.97330696984,20230
5,Staten Island,85,SI07,Westerleigh,41658.09708,63253932.17,"Westerleigh, Staten Island, NY 10314, USA",40.621215,-74.1318094,10314,69501.09249817918,41190
5,Staten Island,85,SI05,New Springville-Bloomfield-Travis,109207.9184,327768572.9,"Travis Ave, Staten Island, NY 10314, USA",40.5936645,-74.165986,10314,69501.09249817918,41190
1,Manhattan,61,MN31,Lenox Hill-Roosevelt Island,39424.22571,21508615.76,"Lenox Hill, New York, NY, USA",40.7662315,-73.9602312,10065,113316.58291457285,15920
4,Queens,81,QN72,Steinway,43563.148989999994,57724460.86,"Steinway, Queens, NY 11105, USA",40.7745459,-73.9037477,11105,60943.083205717194,19590
5,Staten Island,85,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,75942.00256000001,184881509.1,#ERROR!,#ERROR!,#ERROR!,10304,55267.06231454006,20220
1,Manhattan,61,MN11,Central Harlem South,16621.02334,14439304.64,"130 Malcolm X Blvd, New York, NY 10026, United States",40.8021763,-73.9490789,10026,58063.41861731082,18370
3,Brooklyn,47,BK34,Sunset Park East,25901.82576,27110066.46,"Sunset Park, Brooklyn, NY, USA",40.65272,-74.0093348,11232,43095.87471352177,13090
3,Brooklyn,47,BK32,Sunset Park West,83323.50607,49990015.98,"Sunset Park, Brooklyn, NY, USA",40.65272,-74.0093348,11232,43095.87471352177,13090
4,Queens,81,QN49,Whitestone,62139.047210000004,69050705.91,"Whitestone, Queens, NY, USA",40.7920449,-73.8095574,11357,71833.16807139317,20170
2,Bronx,5,BX30,Kingsbridge Heights,21108.81067,13163119.07,"Kingsbridge Heights, The Bronx, NY, USA",40.8711235,-73.8976328,10468,32218.844984802432,36190
3,Brooklyn,47,BK31,Bay Ridge,44375.56677,67181046.79,"Bay Ridge, Brooklyn, NY, USA",40.6263732,-74.0298767,11209,68094.78741991847,34340
4,Queens,81,QN56,Ozone Park,24731.699080000002,25016839.19,"Ozone Park, Queens, NY, USA",40.6794072,-73.8507279,11417,47425.249169435214,15050
4,Queens,81,QN57,Lindenwood-Howard Beach,79085.80012,64558946.53,"Howard Beach, Queens, NY, USA",40.6571222,-73.8429989,11414,69504.47093889718,13420
2,Bronx,5,BX36,University Heights-Morris Heights,24100.43204,21255485.46,"85 W Burnside Ave, The Bronx, NY 10453, United States",40.8549232,-73.9101709,10453,28504.672897196266,38520
